id,name,bookmark_count,icon_path,latitude,longitude
87,오와리 본점,0,/home/ubuntu/projects/env/image/오와리 본점_gen_new_image.jpg,37.5438463,127.0511655
88,오지상 성수,0,/home/ubuntu/projects/env/image/오지상 성수_gen_new_image.jpg,37.5460472,127.0492498
89,오프트,0,/home/ubuntu/projects/env/image/오프트_gen_new_image.jpg,37.54647380000001,127.0466892
90,오후,0,/home/ubuntu/projects/env/image/오후_gen_new_image.jpg,37.5461754,127.0433804
91,온량,0,/home/ubuntu/projects/env/image/온량_gen_new_image.jpg,37.5469117,127.0434891
92,요쇼쿠 서울숲 본점,0,/home/ubuntu/projects/env/image/요쇼쿠 서울숲 본점_gen_new_image.jpg,37.5469117,127.0434891
93,우동가조쿠 성수점,0,/home/ubuntu/projects/env/image/우동가조쿠 성수점_gen_new_image.jpg,37.5439678,127.0506376
94,우리마키 성수점,0,/home/ubuntu/projects/env/image/우리마키 성수점_gen_new_image.jpg,37.541991,127.053894
95,위풍당당족발,0,/home/ubuntu/projects/env/image/위풍당당족발_gen_new_image.jpg,37.545238,127.0564342
96,육육면관,0,/home/ubuntu/projects/env/image/육육면관_gen_new_image.jpg,37.5454363,127.04636
97,이가네양꼬치 성수직영점,0,/home/ubuntu/projects/env/image/이가네양꼬치 성수직영점_gen_new_image.jpg,37.5439932,127.0566209
98,이로우,0,/home/ubuntu/projects/env/image/이로우_gen_new_image.jpg,37.5436974,127.050804
99,이오로비스트로 성수점,0,/home/ubuntu/projects/env/image/이오로비스트로 성수점_gen_new_image.jpg,37.544559,127.0531701
100,일상담미 성수점,0,/home/ubuntu/projects/env/image/일상담미 성수점_gen_new_image.jpg,37.5412745,127.0580969
101,잠수교집 성수 직영점,0,/home/ubuntu/projects/env/image/잠수교집 성수 직영점_gen_new_image.jpg,37.5438174,127.0593351
102,정돈 성수점,0,/home/ubuntu/projects/env/image/정돈 성수점_gen_new_image.jpg,37.5443796,127.0438576
103,제스티살룬 성수,0,/home/ubuntu/projects/env/image/제스티살룬 성수_gen_new_image.jpg,37.54749899999999,127.042485
104,제제,0,/home/ubuntu/projects/env/image/제제_gen_new_image.jpg,37.5478637,127.0426257
105,조조칼국수 성수점,0,/home/ubuntu/projects/env/image/조조칼국수 성수점_gen_new_image.jpg,37.545243,127.0566783
106,죠죠 성수점,0,/home/ubuntu/projects/env/image/죠죠 성수점_gen_new_image.jpg,37.5414552,127.0610305
107,중앙감속기,0,/home/ubuntu/projects/env/image/중앙감속기_gen_new_image.jpg,37.5455719,127.0510934
108,진작다이닝,0,/home/ubuntu/projects/env/image/진작다이닝_gen_new_image.jpg,37.5493147,127.0456892
109,차만다 서울숲점,0,/home/ubuntu/projects/env/image/차만다 서울숲점_gen_new_image.jpg,37.5465544,127.0414424
110,초이다이닝 성수점,0,/home/ubuntu/projects/env/image/초이다이닝 성수점_gen_new_image.jpg,37.5424768,127.0548315
111,쵸리상경,0,/home/ubuntu/projects/env/image/쵸리상경_gen_new_image.jpg,37.5470208,127.0427327
112,코치,0,/home/ubuntu/projects/env/image/코치_gen_new_image.jpg,37.5382391,127.055129
113,쿠나,0,/home/ubuntu/projects/env/image/쿠나_gen_new_image.jpg,37.5443638,127.0526737
114,타코튜즈데이 성수 본점,0,/home/ubuntu/projects/env/image/타코튜즈데이 성수 본점_gen_new_image.jpg,37.5467285,127.0456066
115,탐광,0,/home/ubuntu/projects/env/image/탐광_gen_new_image.jpg,37.5431748,127.0554194
116,파르코,0,/home/ubuntu/projects/env/image/파르코_gen_new_image.jpg,37.5462764,127.0434294
117,퍼프피자,0,/home/ubuntu/projects/env/image/퍼프피자_gen_new_image.jpg,37.5469167,127.0426854
118,평이담백뼈칼국수 성수점,0,/home/ubuntu/projects/env/image/평이담백뼈칼국수 성수점_gen_new_image.jpg,37.5493504,127.0490622
119,포피나,0,/home/ubuntu/projects/env/image/포피나_gen_new_image.jpg,37.5473066,127.0401988
120,프레고클럽,0,/home/ubuntu/projects/env/image/프레고클럽_gen_new_image.jpg,37.5461995,127.0493273
121,하노이102,0,/home/ubuntu/projects/env/image/하노이102_gen_new_image.jpg,37.5473485,127.0435987
122,한양떡방앗간 성수,0,/home/ubuntu/projects/env/image/한양떡방앗간 성수_gen_new_image.jpg,37.5455389,127.0460009
123,할머니의 레시피,0,/home/ubuntu/projects/env/image/할머니의 레시피_gen_new_image.jpg,37.546133,127.0431495
124,핵밥 성수본점,0,/home/ubuntu/projects/env/image/핵밥 성수본점_gen_new_image.jpg,37.5433653,127.0543937
125,헤이든 성수점,0,/home/ubuntu/projects/env/image/헤이든 성수점_gen_new_image.jpg,37.5463552,127.0470476
126,호감도,0,/home/ubuntu/projects/env/image/호감도_gen_new_image.jpg,37.5429241,127.0560821
127,호호식당 성수,0,/home/ubuntu/projects/env/image/호호식당 성수_gen_new_image.jpg,37.5471159,127.0439136
128,홍보석,0,/home/ubuntu/projects/env/image/홍보석_gen_new_image.jpg,37.5391575,127.0497172
129,훈연,0,/home/ubuntu/projects/env/image/훈연_gen_new_image.jpg,37.5469067,127.0431174
130,훼미리손칼국수보쌈,0,/home/ubuntu/projects/env/image/훼미리손칼국수보쌈_gen_new_image.jpg,37.5495435,127.0446906
